[23-Dec-2013 23:32:19 UTC] PHP 8:  Undefined variable: highlight in /var/lib/openshift/52914f2e5973cac9cd000053/app-root/runtime/repo/www/components/com_actors/views/actors/html/modal.php on line 5
[23-Dec-2013 23:32:19 UTC] PHP 8:  Undefined variable: highlight in /var/lib/openshift/52914f2e5973cac9cd000053/app-root/runtime/repo/www/components/com_actors/views/actors/html/modal.php on line 5
[23-Dec-2013 23:32:19 UTC] PHP 8:  Undefined variable: highlight in /var/lib/openshift/52914f2e5973cac9cd000053/app-root/runtime/repo/www/components/com_actors/views/actors/html/modal.php on line 5
[23-Dec-2013 23:32:19 UTC] PHP 8:  Undefined variable: highlight in /var/lib/openshift/52914f2e5973cac9cd000053/app-root/runtime/repo/www/components/com_actors/views/actors/html/modal.php on line 5
[23-Dec-2013 23:32:19 UTC] PHP 8:  Undefined variable: highlight in /var/lib/openshift/52914f2e5973cac9cd000053/app-root/runtime/repo/www/components/com_actors/views/actors/html/modal.php on line 5
[24-Dec-2013 00:42:05 UTC] PHP 8:  Undefined variable: highlight in /var/lib/openshift/52914f2e5973cac9cd000053/app-root/runtime/repo/www/components/com_actors/views/actors/html/modal.php on line 5
[24-Dec-2013 00:42:05 UTC] PHP 8:  Undefined variable: highlight in /var/lib/openshift/52914f2e5973cac9cd000053/app-root/runtime/repo/www/components/com_actors/views/actors/html/modal.php on line 5
[24-Dec-2013 00:42:05 UTC] PHP 8:  Undefined variable: highlight in /var/lib/openshift/52914f2e5973cac9cd000053/app-root/runtime/repo/www/components/com_actors/views/actors/html/modal.php on line 5
[24-Dec-2013 05:16:19 UTC] PHP 8:  Undefined variable: highlight in /var/lib/openshift/52914f2e5973cac9cd000053/app-root/runtime/repo/www/components/com_actors/views/actors/html/modal.php on line 5
[24-Dec-2013 05:16:19 UTC] PHP 8:  Undefined variable: highlight in /var/lib/openshift/52914f2e5973cac9cd000053/app-root/runtime/repo/www/components/com_actors/views/actors/html/modal.php on line 5
[24-Dec-2013 05:16:19 UTC] PHP 8:  Undefined variable: highlight in /var/lib/openshift/52914f2e5973cac9cd000053/app-root/runtime/repo/www/components/com_actors/views/actors/html/modal.php on line 5
[24-Dec-2013 05:16:19 UTC] PHP 8:  Undefined variable: highlight in /var/lib/openshift/52914f2e5973cac9cd000053/app-root/runtime/repo/www/components/com_actors/views/actors/html/modal.php on line 5
[24-Dec-2013 05:16:19 UTC] PHP 8:  Undefined variable: highlight in /var/lib/openshift/52914f2e5973cac9cd000053/app-root/runtime/repo/www/components/com_actors/views/actors/html/modal.php on line 5
[24-Dec-2013 05:16:19 UTC] PHP 8:  Undefined variable: highlight in /var/lib/openshift/52914f2e5973cac9cd000053/app-root/runtime/repo/www/components/com_actors/views/actors/html/modal.php on line 5
[24-Dec-2013 05:16:19 UTC] PHP 8:  Undefined variable: highlight in /var/lib/openshift/52914f2e5973cac9cd000053/app-root/runtime/repo/www/components/com_actors/views/actors/html/modal.php on line 5
[24-Dec-2013 05:16:19 UTC] PHP 8:  Undefined variable: highlight in /var/lib/openshift/52914f2e5973cac9cd000053/app-root/runtime/repo/www/components/com_actors/views/actors/html/modal.php on line 5
[24-Dec-2013 05:16:19 UTC] PHP 8:  Undefined variable: highlight in /var/lib/openshift/52914f2e5973cac9cd000053/app-root/runtime/repo/www/components/com_actors/views/actors/html/modal.php on line 5
[27-Dec-2013 09:57:12 UTC] PHP 8:  Undefined variable: highlight in /var/lib/openshift/52914f2e5973cac9cd000053/app-root/runtime/repo/www/components/com_actors/views/actors/html/modal.php on line 5
